Team,"Player
Ratings",Level,Region,Category,Arm,Batting_Pos,Bowling_Style,"Matches
 Played",Runs,Wickets,Strike Rate,Players,Price(RS),Age,Birth_Date,Country
KKR,8,Capped,Overseas,Wicket_Keeper,Left,Middle,Can't Bowl,20,334,0,133,Sam Billings,20.00M,25,1998-07-10,India
KKR,8.5,Capped,Domestic,Bowler,Right,Tailender,Seamer,121,122,119,123,Umesh Yadav,20.00M,34,1989-09-18,India
KKR,9,Capped,Overseas,Wicket_Keeper,Right,Opener,Can't Bowl,60,1645,0,132,Alex Hales,15.00M,31,1993-01-28,England
KKR,8.5,Capped,Overseas,Bowler,Right,Tailender,Seamer,43,150,31,124,Tim Southee,15.00M,36,1987-11-21,New Zealand
KKR,9,Capped,Overseas,All_Rounder,Right,Middle,Spinner,85,1500,73,146,Md Nabi,10.00M,40,1983-03-25,Afghanistan
KKR,8.5,Capped,Domestic,Batter,Right,Middle,Can't Bowl,151,3941,0,125,Ajinkya Rahane,10.00M,39,1984-07-21,India
KKR,7,Uncapped,Domestic,Wicket_Keeper,Right,Middle,Can't Bowl,4,38,0,122,Sheldon Jackson,6.00M,26,1997-07-17,India
KKR,7.5,Uncapped,Domestic,Batter,Right,Tailender,Can't Bowl,10,80,0,110,Rinku Singh,5.50M,29,1994-03-30,India
KKR,7,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Ashok Sharma,5.50M,28,1995-11-17,India
KKR,9,Capped,Overseas,All_Rounder,Right,Tailender,Seamer,19,111,10,100,Chamika Karunaratne,5.00M,34,1989-05-12,Sri Lanka
KKR,7,Uncapped,Domestic,Batter,Right,Middle,Can't Bowl,0,0,0,100,Abhijeet Tomar,4.00M,31,1992-07-07,India
KKR,7,Uncapped,Domestic,All_Rounder,Right,Tailender,Seamer,1,1,1,100,Anukul Roy,2.00M,25,1998-11-07,India
KKR,7,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Rasikh Dar,2.00M,25,1998-04-19,India
KKR,7,Uncapped,Domestic,Wicket_Keeper,Right,Middle,Can't Bowl,0,0,0,100,Baba Indrajith,2.00M,22,2001-09-16,India
KKR,7,Uncapped,Domestic,All_Rounder,Right,Tailender,Spinner,0,0,0,100,Aman Khan,2.00M,21,2002-11-25,India
KKR,7,Uncapped,Domestic,Batter,Right,Middle,Can't Bowl,0,0,0,100,Ramesh Kumar,2.00M,23,2001-02-04,India
KKR,7,Uncapped,Domestic,Batter,Right,Middle,Can't Bowl,0,0,0,100,Pratham Singh,2.00M,24,1999-05-05,India
LSG,10,Capped,Domestic,Wicket_Keeper,Right,Opener,Can't Bowl,92,3230,0,142,KL Rahul,170.00M,31,1992-07-22,India
LSG,10,Capped,Domestic,Bowler,Right,Tailender,Seamer,25,10,30,153,Avesh Khan,100.00M,26,1998-01-17,India
LSG,10,Capped,Overseas,All_Rounder,Right,Middle,Seamer,56,914,30,135,Marcus Stoinus,92.00M,34,1989-07-07,Australia
LSG,10,Capped,Overseas,All_Rounder,Right,Middle,Seamer,37,264,39,136,Jason Holder,87.50M,38,1985-05-07,West Indies
LSG,10,Capped,Domestic,All_Rounder,Left,Middle,Spinner,84,1153,51,152,Krunal Pandya,82.50M,37,1986-07-22,India
LSG,10,Capped,Overseas,Bowler,Right,Tailender,Seamer,19,12,26,100,Mark Wood,75.00M,34,1989-04-17,England
LSG,10,Capped,Overseas,Wicket_Keeper,Left,Opener,Can't Bowl,77,2404,0,164,Quinton De kok,67.50M,34,1990-02-17,South Africa
LSG,10,Capped,Domestic,All_Rounder,Right,Middle,Spinner,97,1000,61,121,Deepak Hooda,57.50M,29,1994-10-20,India
LSG,10,Capped,Domestic,Batter,Right,Middle,Can't Bowl,154,3520,0,146,Manish Pandey,46.00M,35,1988-04-12,India
LSG,10,Capped,Domestic,Bowler,Right,Tailender,Spinner,23,40,24,128,Ravi Bishnoi,40.00M,23,2000-06-29,India
LSG,10,Capped,Overseas,Bowler,Right,Tailender,Seamer,44,64,45,100,Dushmanta Chameera,20.00M,33,1990-06-25,Sri Lanka
LSG,10,Capped,Overseas,Batter,Left,Middle,Can't Bowl,50,1476,0,161,Evin Lewis,20.00M,32,1992-01-23,West Indies
LSG,8,Capped,Domestic,All_Rounder,Left,Tailender,Spinner,24,560,15,163,K. Gowtham,9.00M,31,1992-09-19,India
LSG,8.5,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,29,26,24,100,Ankit S Rajput,5.00M,33,1990-10-06,India
LSG,8,Capped,Domestic,Bowler,Right,Tailender,Spinner,72,100,48,105,Shahbaz Nadeem,5.00M,26,1997-11-25,India
LSG,10,Capped,Overseas,All_Rounder,Left,Opener,Seamer,7,140,0,143,Kyle Mayers,5.00M,30,1993-07-10,West Indies
LSG,8,Uncapped,Domestic,Batter,Right,Middle,Can't Bowl,53,1015,0,140,Manan Vohra,2.00M,35,1988-04-11,India
LSG,8,Uncapped,Domestic,All_Rounder,Right,Tailender,Spinner,0,0,0,100,B. Sai Sudharsan,2.00M,22,2001-08-21,India
LSG,8,Uncapped,Domestic,Bowler,Left,Tailender,Seamer,0,0,0,100,Mohsin Khan,2.00M,26,1998-03-04,India
LSG,8,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Mayank Yadav,2.00M,22,2001-09-12,India
LSG,8,Uncapped,Domestic,All_Rounder,Right,Tailender,Seamer,0,0,0,100,Ayush Badoni,2.00M,22,2001-08-26,India
LSG,8,Uncapped,Domestic,All_Rounder,Right,Tailender,Spinner,0,0,0,100,Karan Sharma,2.00M,24,1999-07-16,India
MI,10,Capped,Domestic,Batter,Right,Opener,Can't Bowl,216,5611,15,139,Rohit Sharma,160.00M,37,1987-02-11,India
MI,10,Capped,Domestic,Wicket_Keeper,Left,Opener,Can't Bowl,61,1452,0,133,Ishan Kishan,152.50M,26,1997-07-16,India
